datetime,code,open,close,high,low,vol,avg_price,position,p_change,atr,todayopen,rangehigh,rangelow,highclose,lowclose,r1,r2,range,longentry,shortentry,longexit,shortexit
2018-08-16,IF1809,3225.0,3249.0,3305.199951171875,3198.60009765625,24860,3256.60009765625,40338,-0.2,85.31744998286604,3225.0,3399.800048828125,3198.60009765625,3378.39990234375,3249.0,150.800048828125,179.7998046875,179.7998046875,3296.919921875,3153.080078125,3126.285021909268,3467.554821840732
2018-08-16,RB1901,4156.0,4163.0,4180.0,4089.0,3026366,4139.0,1855454,0.0,69.95962446609838,4156.0,4184.0,4022.0,4163.0,4033.0,151.0,141.0,151.0,4216.4,4095.6,4076.480751067803,4356.319248932196
2018-08-16,AG1812,3597.0,3529.0,3597.0,3488.0,906108,3530.0,825218,-2.41,22.288231691816673,3597.0,3692.0,3488.0,3678.0,3529.0,163.0,190.0,190.0,3673.0,3521.0,3628.4235366163666,3717.5764633836334
